5	0	1	178.06
5	1	1	143
5	2	1	135.67
5	3	1	153.91
5	4	1	171.43
5	5	1	132.56
5	6	1	205.92
5	7	1	218.42
5	8	1	165.82
5	9	1	151.59
5	10	1	123.18
5	11	1	173.79
5	12	1	186.46
5	13	1	170.72
5	14	1	212.23
5	15	1	218.95
5	16	1	183.79
5	17	1	157.81
5	18	1	134.29
5	19	1	213.3
5	20	1	179.19
5	21	1	157.93
5	22	1	187.83
5	23	1	204.14
5	24	1	200.58
5	25	1	223.5
5	26	1	185.06
5	27	1	146.46
5	28	1	131.88
5	29	1	137.23
10	0	1	367.44
10	1	1	272.05
10	2	1	262.31
10	3	1	276.93
10	4	1	254.85
10	5	1	324.88
10	6	1	340.41
10	7	1	229.35
10	8	1	373.16
10	9	1	252.48
10	10	1	450.24
10	11	1	427.44
10	12	1	225.05
10	13	1	434.48
10	14	1	475.43
10	15	1	228.55
10	16	1	384.57
10	17	1	367.07
10	18	1	473.27
10	19	1	403.72
10	20	1	244.38
10	21	1	235.86
10	22	1	339.91
10	23	1	431.59
10	24	1	291.6
10	25	1	430.32
10	26	1	269.35
10	27	1	239.32
10	28	1	253.4
10	29	1	295.84
15	0	1	474.83
15	1	1	436
15	2	1	600.25
15	3	1	470.39
15	4	1	333.8
15	5	1	403.31
15	6	1	458.93
15	7	1	386.63
15	8	1	459.98
15	9	1	304.42
15	10	1	346.99
15	11	1	620.24
15	12	1	309.86
15	13	1	399.52
15	14	1	472.52
15	15	1	337.39
15	16	1	503.01
15	17	1	461.24
15	18	1	599
15	19	1	406.83
15	20	1	432.18
15	21	1	339.44
15	22	1	603.99
15	23	1	625.63
15	24	1	302
15	25	1	599.13
15	26	1	617.12
15	27	1	558.95
15	28	1	493.43
15	29	1	524.41
20	0	1	406.96
20	1	1	578.89
20	2	1	699.78
20	3	1	391.89
20	4	1	434.06
20	5	1	624.39
20	6	1	536.63
20	7	1	590.92
20	8	1	454.64
20	9	1	446.73
20	10	1	674.94
20	11	1	694.98
20	12	1	417.82
20	13	1	421.92
20	14	1	692.09
20	15	1	585.65
20	16	1	686.53
20	17	1	684.66
20	18	1	699.67
20	19	1	624.53
20	20	1	683.08
20	21	1	388.41
20	22	1	438.34
20	23	1	453.04
20	24	1	504.18
20	25	1	356.31
20	26	1	440.03
20	27	1	366.48
20	28	1	558.65
20	29	1	540.94
5	0	2	193.28
5	1	2	141.13
5	2	2	124.8
5	3	2	165.42
5	4	2	235.88
5	5	2	126.49
5	6	2	172.42
5	7	2	184.46
5	8	2	142.79
5	9	2	159.14
5	10	2	159.72
5	11	2	192.27
5	12	2	154.68
5	13	2	142.85
5	14	2	174.69
5	15	2	147.36
5	16	2	203.89
5	17	2	189.97
5	18	2	187.94
5	19	2	155.5
5	20	2	141.92
5	21	2	125.22
5	22	2	157.44
5	23	2	159.86
5	24	2	179.54
5	25	2	166.58
5	26	2	211.71
5	27	2	197.85
5	28	2	150.93
5	29	2	134.75
10	0	2	300.9
10	1	2	251.6
10	2	2	267.93
10	3	2	234.3
10	4	2	310.79
10	5	2	292.58
10	6	2	250.07
10	7	2	289.92
10	8	2	190.02
10	9	2	413.65
10	10	2	306.34
10	11	2	236.13
10	12	2	297.84
10	13	2	293.37
10	14	2	317.29
10	15	2	358
10	16	2	335.52
10	17	2	301.08
10	18	2	229.92
10	19	2	356.2
10	20	2	251.88
10	21	2	295.95
10	22	2	242.22
10	23	2	287.22
10	24	2	272.86
10	25	2	322.48
10	26	2	303.65
10	27	2	216.46
10	28	2	259.26
10	29	2	317.41
15	0	2	562.5
15	1	2	430.69
15	2	2	506.71
15	3	2	549.27
15	4	2	363.45
15	5	2	458.7
15	6	2	419.17
15	7	2	506.64
15	8	2	381.68
15	9	2	318.82
15	10	2	440.04
15	11	2	373.52
15	12	2	375.72
15	13	2	267.37
15	14	2	334.78
15	15	2	354.54
15	16	2	597.14
15	17	2	367.83
15	18	2	602.29
15	19	2	471.51
15	20	2	478.5
15	21	2	364.26
15	22	2	315.15
15	23	2	375.13
15	24	2	353.42
15	25	2	357.19
15	26	2	459.25
15	27	2	530.58
15	28	2	390.96
15	29	2	553.08
20	0	2	504.77
20	1	2	475.48
20	2	2	506.43
20	3	2	670.1
20	4	2	622.17
20	5	2	493.55
20	6	2	399.67
20	7	2	591.08
20	8	2	591.4
20	9	2	485.72
20	10	2	653.59
20	11	2	588.84
20	12	2	629.64
20	13	2	530.21
20	14	2	588.29
20	15	2	516.14
20	16	2	503.31
20	17	2	353.03
20	18	2	783.83
20	19	2	588.12
20	20	2	670.22
20	21	2	519.83
20	22	2	491.76
20	23	2	546.4
20	24	2	522.53
20	25	2	663.68
20	26	2	518.99
20	27	2	391.75
20	28	2	462.29
20	29	2	469.63
5	0	3	125.3
5	1	3	178.21
5	2	3	158.5
5	3	3	141.63
5	4	3	160.6
5	5	3	156.21
5	6	3	153.46
5	7	3	178.56
5	8	3	173.99
5	9	3	112.92
5	10	3	136.2
5	11	3	181.9
5	12	3	145.98
5	13	3	180.76
5	14	3	153.7
5	15	3	191.87
5	16	3	163.43
5	17	3	178.62
5	18	3	180.89
5	19	3	169.69
5	20	3	166.83
5	21	3	158.75
5	22	3	203.05
5	23	3	152.43
5	24	3	194.77
5	25	3	192.49
5	26	3	157.07
5	27	3	159.77
5	28	3	179.3
5	29	3	212.99
10	0	3	256.12
10	1	3	247.52
10	2	3	367.68
10	3	3	265.13
10	4	3	290.5
10	5	3	243.51
10	6	3	325
10	7	3	224.38
10	8	3	272.08
10	9	3	279.57
10	10	3	286.43
10	11	3	234.97
10	12	3	303.3
10	13	3	337.51
10	14	3	356.13
10	15	3	270.48
10	16	3	263.85
10	17	3	255.77
10	18	3	245.66
10	19	3	244.78
10	20	3	315.2
10	21	3	355.07
10	22	3	272.17
10	23	3	260.16
10	24	3	276.53
10	25	3	311.85
10	26	3	348.27
10	27	3	296.57
10	28	3	345.5
10	29	3	265.39
15	0	3	321.98
15	1	3	488.7
15	2	3	406.37
15	3	3	518.07
15	4	3	378.95
15	5	3	392.25
15	6	3	399.25
15	7	3	399.59
15	8	3	376.38
15	9	3	434.87
15	10	3	418.79
15	11	3	470.08
15	12	3	494.98
15	13	3	433.07
15	14	3	481.02
15	15	3	370.74
15	16	3	417.02
15	17	3	493.5
15	18	3	349.33
15	19	3	270.43
15	20	3	534.47
15	21	3	413.99
15	22	3	313.46
15	23	3	511.21
15	24	3	421.56
15	25	3	293.92
15	26	3	315.81
15	27	3	447.09
15	28	3	431.79
15	29	3	480.11
20	0	3	479.71
20	1	3	523.35
20	2	3	438.51
20	3	3	580.32
20	4	3	593.95
20	5	3	509.99
20	6	3	516.78
20	7	3	518.82
20	8	3	683.29
20	9	3	653.2
20	10	3	515.68
20	11	3	645.12
20	12	3	401.05
20	13	3	524.92
20	14	3	688.65
20	15	3	557.69
20	16	3	448.56
20	17	3	428.92
20	18	3	541.96
20	19	3	477.73
20	20	3	579.64
20	21	3	469.85
20	22	3	440.04
20	23	3	439.55
20	24	3	456.35
20	25	3	665.06
20	26	3	522.37
20	27	3	438.47
20	28	3	448.44
20	29	3	382.9
