5	0	1	176	7176.03	7861.7
5	1	1	160	4929.35	5058.42
5	2	1	130	3709.87	3743.29
5	3	1	117	3129.94	3859.35
5	4	1	168	6676.36	6944.41
5	5	1	132	3821.97	3930.2
5	6	1	223	9353.5	9493.82
5	7	1	223	10793.4	13065.5
5	8	1	170	6427.94	6625.95
5	9	1	158	4947.22	5154.57
5	10	1	119	3344.28	3509.05
5	11	1	194	6984.15	7111.49
5	12	1	197	7402.69	7445.84
5	13	1	174	6360.93	6507.57
5	14	1	196	8766.64	8754.29
5	15	1	205	8320.63	0
5	16	1	183	8219.57	8354.47
5	17	1	150	5083.16	5260.39
5	18	1	129	3886.43	3987.2
5	19	1	207	10010.5	9894.82
5	20	1	179	7443.13	7730.73
5	21	1	163	6449.45	6735.13
5	22	1	177	6732.2	6863.1
5	23	1	186	8133.06	8265.17
5	24	1	208	8901.96	9059.02
5	25	1	208	9589.67	9540.22
5	26	1	188	6903.84	6895.91
5	27	1	148	4389.09	4848.21
5	28	1	136	4063.01	4434.9
5	29	1	132	4188.8	4250.12
10	0	1	360	17281.4	17847
